0928 22:35:57569 :: pack/metin2_patch_nodelar.eix: Error Code 9
0928 22:35:57569 :: pack/metin2_patch_nodelar.epk: Error Code 9
0928 22:35:03277 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_3.mse) Error
0928 22:35:03277 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_3_blow.mse) Error
0928 22:35:03277 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4.mse) Error
0928 22:35:03277 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4_blow.mse) Error
0928 22:35:03277 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4.mse) Error
0928 22:35:03277 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/warrior/effect/finish_4_blow.mse) Error
0928 22:35:03563 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_1_blow.mse) Error
0928 22:35:03563 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_1_making.mse) Error
0928 22:35:03567 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_1_making.mse) Error
0928 22:35:03567 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_1_fear.mse) Error
0928 22:35:03570 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_2_blow.mse) Error
0928 22:35:03570 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_2_making.mse) Error
0928 22:35:03570 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_2_making.mse) Error
0928 22:35:03570 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_2_fear.mse) Error
0928 22:35:03571 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_3_blow.mse) Error
0928 22:35:03571 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_3_making.mse) Error
0928 22:35:03571 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_3_making.mse) Error
0928 22:35:03571 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_3_fear.mse) Error
0928 22:35:03571 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_4_blow.mse) Error
0928 22:35:03571 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_4_making.mse) Error
0928 22:35:03572 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_4_making.mse) Error
0928 22:35:03572 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/sura/effect/akgi_dark_4_fear.mse) Error
0928 22:35:03686 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/meteo_2_making.mse) Error
0928 22:35:03688 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_1_making.mse) Error
0928 22:35:03688 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_1_blow.mse) Error
0928 22:35:03692 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/meteo_2_making.mse) Error
0928 22:35:03692 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_2_making.mse) Error
0928 22:35:03692 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_2_blow.mse) Error
0928 22:35:03692 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/meteo_3_making.mse) Error
0928 22:35:03692 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_3_making.mse) Error
0928 22:35:03692 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_3_blow.mse) Error
0928 22:35:03693 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/meteo_4_making.mse) Error
0928 22:35:03693 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_4_making.mse) Error
0928 22:35:03693 :: CEffectManager::RegisterEffect - LoadScript(d:/ymir work/pc/shaman/effect/chunwoon_4_blow.mse) Error
